State,state_abbreviation,County,Violent_crime,Murder,Rape,Robbery,Aggravated_assault,Property_crime,Burglary,Larceny-theft,vehicle_theft,Arson
TENNESSEE,TN,Campbell,55,1,9,1,44,207,56,109,42,3
TENNESSEE,TN,Cheatham,72,1,6,3,62,248,35,177,36,0
TENNESSEE,TN,Dickson,123,2,18,3,100,246,70,127,49,1
TENNESSEE,TN,Fayette,42,2,0,2,38,125,28,77,20,2
TENNESSEE,TN,Gibson,52,0,3,2,47,169,29,103,37,1
TENNESSEE,TN,Grainger,23,2,3,0,18,182,33,102,47,0
TENNESSEE,TN,Hamblen,101,0,9,5,87,435,86,257,92,6
TENNESSEE,TN,Hamilton,311,1,34,5,271,"1,104",213,757,134,7
TENNESSEE,TN,Hartsville/Trousdale,31,0,4,1,26,114,24,77,13,1
TENNESSEE,TN,Hawkins,62,1,6,0,55,400,83,249,68,5
TENNESSEE,TN,Jefferson,112,2,16,3,91,383,100,221,62,4
TENNESSEE,TN,Knox,567,7,71,26,463,"2,868",434,"2,038",396,9
TENNESSEE,TN,Loudon,82,1,6,2,73,334,83,202,49,4
TENNESSEE,TN,Macon,70,0,4,0,66,48,25,8,15,6
TENNESSEE,TN,Madison,70,3,3,4,60,202,43,130,29,1
TENNESSEE,TN,Marion,47,0,1,1,45,114,24,59,31,1
TENNESSEE,TN,Maury,139,4,29,1,105,327,51,199,77,4
TENNESSEE,TN,Montgomery,75,0,6,2,67,455,104,286,65,0
TENNESSEE,TN,Morgan,46,1,0,0,45,196,21,138,37,0
TENNESSEE,TN,Polk,35,1,2,0,32,285,56,171,58,2
TENNESSEE,TN,Roane,80,2,8,7,63,246,65,141,40,0
TENNESSEE,TN,Robertson,105,0,4,5,96,223,54,132,37,4
TENNESSEE,TN,Rutherford,241,0,29,4,208,517,84,362,71,5
TENNESSEE,TN,Sequatchie,35,0,0,0,35,102,22,56,24,4
TENNESSEE,TN,Shelby,640,9,28,53,550,"2,390",453,"1,628",309,4
TENNESSEE,TN,Smith,21,0,4,0,17,107,30,67,10,0
TENNESSEE,TN,Stewart,33,1,6,0,26,68,24,35,9,0
TENNESSEE,TN,Sullivan,290,4,51,6,229,889,211,510,168,19
TENNESSEE,TN,Sumner,130,2,12,6,110,332,75,212,45,4
TENNESSEE,TN,Tipton,113,2,10,5,96,337,64,224,49,0
TENNESSEE,TN,Unicoi,32,1,1,0,30,37,6,24,7,0
TENNESSEE,TN,Union,32,1,2,0,29,192,58,108,26,3
TENNESSEE,TN,Washington,129,1,15,1,112,548,144,292,112,5
TENNESSEE,TN,Williamson,137,2,10,0,125,299,44,232,23,4
TENNESSEE,TN,Wilson,66,1,0,6,59,442,99,280,63,0
TENNESSEE,TN,Bedford,69,4,18,0,47,165,37,103,25,0
TENNESSEE,TN,Benton,34,1,7,1,25,141,38,79,24,1
TENNESSEE,TN,Bledsoe,20,1,2,0,17,76,9,48,19,0
TENNESSEE,TN,Carroll,34,0,4,1,29,140,35,77,28,2
TENNESSEE,TN,Claiborne,22,1,3,0,18,67,14,41,12,1
TENNESSEE,TN,Clay,5,0,1,0,4,19,7,10,2,0
TENNESSEE,TN,Cocke,159,2,16,2,139,456,104,239,113,5
TENNESSEE,TN,Coffee,177,4,7,1,165,411,91,254,66,1
TENNESSEE,TN,Cumberland,74,0,0,1,73,438,132,239,67,3
TENNESSEE,TN,Decatur,34,0,2,1,31,117,52,48,17,1
TENNESSEE,TN,DeKalb,13,0,2,0,11,103,29,57,17,3
TENNESSEE,TN,Dyer,52,0,4,1,47,222,47,124,51,1
TENNESSEE,TN,Fentress,36,1,6,1,28,239,48,159,32,3
TENNESSEE,TN,Franklin,63,0,6,1,56,235,39,146,50,3
TENNESSEE,TN,Giles,35,0,1,0,34,83,25,40,18,2
TENNESSEE,TN,Greene,187,3,14,1,169,767,195,427,145,11
TENNESSEE,TN,Grundy,68,0,10,1,57,221,37,136,48,3
TENNESSEE,TN,Hancock,16,0,1,0,15,97,34,59,4,2
TENNESSEE,TN,Hardeman,125,3,3,4,115,148,35,75,38,1
TENNESSEE,TN,Hardin,61,2,8,1,50,337,106,176,55,3
TENNESSEE,TN,Haywood,21,0,2,1,18,119,27,78,14,0
TENNESSEE,TN,Henderson,82,0,15,5,62,216,89,109,18,1
TENNESSEE,TN,Henry,64,0,4,1,59,239,62,134,43,5
TENNESSEE,TN,Hickman,83,2,5,2,74,382,69,240,73,4
TENNESSEE,TN,Houston,13,0,0,0,13,76,10,59,7,1
TENNESSEE,TN,Humphreys,33,0,2,1,30,115,36,59,20,1
TENNESSEE,TN,Johnson,37,0,6,1,30,101,31,51,19,2
TENNESSEE,TN,Lauderdale,62,0,2,1,59,167,57,90,20,3
TENNESSEE,TN,Lawrence,35,0,6,1,28,218,96,92,30,6
TENNESSEE,TN,Lewis,27,0,2,0,25,74,15,45,14,1
TENNESSEE,TN,Lincoln,45,0,7,1,37,231,62,141,28,3
TENNESSEE,TN,Marshall,37,0,4,0,33,91,10,56,25,2
TENNESSEE,TN,McMinn,85,0,7,4,74,427,101,241,85,6
TENNESSEE,TN,McNairy,45,0,2,1,42,168,39,100,29,1
TENNESSEE,TN,Monroe,147,2,22,1,122,628,158,338,132,4
TENNESSEE,TN,Moore,10,0,1,0,9,34,3,28,3,0
TENNESSEE,TN,Obion,39,2,0,2,35,165,51,86,28,1
TENNESSEE,TN,Overton,55,0,5,0,50,186,16,134,36,8
TENNESSEE,TN,Pickett,5,0,0,0,5,23,6,13,4,0
TENNESSEE,TN,Putnam,80,0,13,2,65,333,61,221,51,1
TENNESSEE,TN,Scott,16,1,0,0,15,159,73,62,24,2
TENNESSEE,TN,Sevier,158,0,18,3,137,708,133,445,130,3
TENNESSEE,TN,Warren,119,1,9,3,106,285,62,169,54,4
TENNESSEE,TN,Wayne,27,0,5,0,22,65,15,38,12,1
TENNESSEE,TN,Weakley,23,0,2,0,21,82,31,41,10,1
TENNESSEE,TN,White,69,0,2,1,66,198,25,117,56,6
TEXAS,TX,Atascosa,78,7,0,5,66,466,96,300,70,3
TEXAS,TX,Bandera,33,3,2,1,27,153,41,90,22,0
TEXAS,TX,Bell,71,0,17,3,51,628,153,416,59,5
TEXAS,TX,Bexar,818,10,97,72,639,"5,240",989,"3,559",692,13
TEXAS,TX,Bowie,82,1,18,3,60,336,80,196,60,3
TEXAS,TX,Brazoria,238,3,39,29,167,"1,068",187,742,139,2
TEXAS,TX,Brazos,53,0,19,6,28,305,79,191,35,2
TEXAS,TX,Burleson,28,0,2,2,24,73,27,36,10,0
TEXAS,TX,Caldwell,27,4,3,1,19,91,23,47,21,1
TEXAS,TX,Cameron,297,4,60,15,218,712,177,455,80,3
TEXAS,TX,Chambers,120,2,16,9,93,614,116,413,85,1
TEXAS,TX,Clay,11,0,3,0,8,67,25,28,14,0
TEXAS,TX,Collin,74,1,24,4,45,345,72,224,49,1
TEXAS,TX,Comal,91,0,31,6,54,604,149,351,104,1
TEXAS,TX,Coryell,13,0,6,0,7,69,19,36,14,1
TEXAS,TX,Crosby,4,0,0,0,4,27,14,7,6,0
TEXAS,TX,Dallas,36,0,17,1,18,137,21,57,59,2
TEXAS,TX,Denton,73,0,17,2,54,379,62,276,41,1
TEXAS,TX,Ector,64,3,11,4,46,120,17,47,56,0
TEXAS,TX,Ellis,89,1,27,3,58,410,96,264,50,0
TEXAS,TX,El Paso,246,5,59,21,161,697,121,468,108,7
TEXAS,TX,Fort Bend,988,17,147,107,717,"4,671",636,"3,626",409,0
TEXAS,TX,Galveston,145,8,36,11,90,620,121,394,105,10
TEXAS,TX,Goliad,13,0,1,3,9,175,122,46,7,2
TEXAS,TX,Grayson,110,1,25,2,82,412,114,234,64,3
TEXAS,TX,Gregg,99,1,21,6,71,358,86,218,54,0
TEXAS,TX,Hardin,44,0,21,3,20,244,71,114,59,1
TEXAS,TX,Harris,"9,487",136,"1,111","1,713","6,527","44,391","6,539","31,463","6,389",339
TEXAS,TX,Harrison,92,1,0,4,87,433,107,253,73,0
TEXAS,TX,Hays,196,1,45,11,139,814,180,535,99,0
TEXAS,TX,Hidalgo,539,10,116,81,332,"2,740",537,"1,834",369,10
TEXAS,TX,Hudspeth,12,0,3,0,9,4,1,2,1,0
TEXAS,TX,Hunt,410,1,24,18,367,608,134,343,131,0
TEXAS,TX,Irion,1,0,0,0,1,19,8,8,3,0
TEXAS,TX,Jefferson,105,0,18,9,78,313,60,192,61,3
TEXAS,TX,Johnson,200,2,45,7,146,573,102,388,83,8
TEXAS,TX,Jones,10,0,2,0,8,44,14,24,6,0
TEXAS,TX,Kaufman,158,9,38,7,104,607,154,355,98,1
TEXAS,TX,Kendall,23,1,7,1,14,141,20,103,18,0
TEXAS,TX,Lampasas,18,0,1,0,17,81,16,53,12,1
TEXAS,TX,Lubbock,127,1,28,14,84,528,134,268,126,6
TEXAS,TX,Lynn,6,0,1,0,5,11,6,3,2,0
TEXAS,TX,Martin,14,0,0,2,12,79,6,73,0,0
TEXAS,TX,McLennan,92,3,45,1,43,487,118,303,66,7
TEXAS,TX,Medina,44,1,7,1,35,194,38,125,31,1
TEXAS,TX,Midland,159,6,26,5,122,645,73,410,162,1
TEXAS,TX,Montgomery,918,11,99,76,732,"4,863",786,"3,442",635,12
TEXAS,TX,Nueces,29,0,8,1,20,56,23,33,0,1
TEXAS,TX,Oldham,1,0,0,1,0,4,2,2,0,0
TEXAS,TX,Orange,67,2,19,5,41,424,136,225,63,1
TEXAS,TX,Parker,150,5,39,7,99,"1,033",287,630,116,0
TEXAS,TX,Potter,60,0,7,2,51,171,32,108,31,0
TEXAS,TX,Randall,55,1,13,4,37,225,63,117,45,3
TEXAS,TX,Robertson,15,0,4,0,11,97,23,59,15,1
TEXAS,TX,Rockwall,25,0,4,0,21,99,20,66,13,0
TEXAS,TX,Rusk,82,3,13,1,65,439,127,252,60,5
TEXAS,TX,Smith,310,5,30,16,259,"1,132",261,681,190,1
TEXAS,TX,Sterling,0,0,0,0,0,8,5,1,2,0
TEXAS,TX,Tarrant,129,4,42,13,70,788,153,488,147,3
TEXAS,TX,Taylor,27,0,11,1,15,168,109,51,8,0
TEXAS,TX,Tom Green,52,1,14,3,34,162,36,93,33,3
TEXAS,TX,Travis,782,11,109,60,602,"3,406",664,"2,279",463,13
TEXAS,TX,Upshur,66,5,24,1,36,280,131,118,31,3
TEXAS,TX,Victoria,113,5,23,3,82,227,68,134,25,1
TEXAS,TX,Waller,55,1,11,2,41,201,64,119,18,0
TEXAS,TX,Webb,54,0,8,4,42,176,40,92,44,1
TEXAS,TX,Wichita,16,2,3,0,11,80,22,53,5,0
TEXAS,TX,Williamson,177,0,54,15,108,"1,556",278,"1,149",129,2
TEXAS,TX,Wilson,40,0,17,0,23,252,57,162,33,3
TEXAS,TX,Wise,79,5,25,5,44,44,9,34,1,1
TEXAS,TX,Bailey,3,0,0,0,3,12,4,8,0,0
TEXAS,TX,Baylor,0,0,0,0,0,5,0,2,3,0
TEXAS,TX,Bee,30,0,4,0,26,127,42,71,14,4
TEXAS,TX,Blanco,18,1,4,2,11,85,27,55,3,2
TEXAS,TX,Borden,1,0,0,0,1,13,4,7,2,0
TEXAS,TX,Bosque,11,0,2,0,9,68,26,36,6,1
TEXAS,TX,Brewster,5,0,1,0,4,32,14,8,10,0
TEXAS,TX,Briscoe,0,0,0,0,0,9,2,7,0,0
TEXAS,TX,Brooks,1,0,0,0,1,3,3,0,0,0
TEXAS,TX,Brown,44,0,4,5,35,206,80,113,13,7
TEXAS,TX,Burnet,53,2,14,1,36,213,60,117,36,2
TEXAS,TX,Calhoun,24,0,5,1,18,77,23,47,7,0
TEXAS,TX,Camp,15,1,5,2,7,83,28,51,4,0
TEXAS,TX,Cass,27,1,9,1,16,152,57,70,25,0
TEXAS,TX,Castro,3,0,1,0,2,19,4,7,8,0
TEXAS,TX,Cherokee,79,4,11,3,61,354,88,229,37,0
TEXAS,TX,Childress,2,0,0,0,2,2,1,1,0,0
TEXAS,TX,Cochran,9,0,1,0,8,21,11,9,1,0
TEXAS,TX,Collingsworth,2,0,0,0,2,8,2,4,2,0
TEXAS,TX,Colorado,13,0,3,1,9,136,31,77,28,0
TEXAS,TX,Comanche,14,0,5,2,7,63,10,48,5,0
TEXAS,TX,Cooke,56,0,20,2,34,132,53,66,13,1
TEXAS,TX,Crane,1,0,0,0,1,6,0,3,3,0
TEXAS,TX,Crockett,3,0,1,0,2,33,25,7,1,0
TEXAS,TX,Dallam,0,0,0,0,0,5,2,0,3,0
TEXAS,TX,Dawson,3,0,2,0,1,53,20,25,8,0
TEXAS,TX,Deaf Smith,12,0,0,0,12,27,6,19,2,1
TEXAS,TX,Delta,3,0,1,0,2,19,11,7,1,1
TEXAS,TX,DeWitt,32,0,6,1,25,53,9,29,15,3
TEXAS,TX,Donley,4,0,0,0,4,31,15,10,6,0
TEXAS,TX,Duval,13,0,2,0,11,96,21,41,34,1
TEXAS,TX,Eastland,7,0,0,0,7,35,7,20,8,1
TEXAS,TX,Edwards,0,0,0,0,0,15,7,3,5,0
TEXAS,TX,Erath,7,1,1,0,5,68,26,42,0,0
TEXAS,TX,Fannin,51,1,13,2,35,129,25,89,15,1
TEXAS,TX,Fayette,17,1,8,0,8,92,22,54,16,0
TEXAS,TX,Floyd,7,0,1,0,6,27,4,18,5,0
TEXAS,TX,Freestone,25,1,2,0,22,76,21,50,5,3
TEXAS,TX,Gaines,11,0,2,1,8,74,22,43,9,0
TEXAS,TX,Garza,5,0,3,0,2,24,9,15,0,0
TEXAS,TX,Gillespie,14,1,7,0,6,27,10,14,3,0
TEXAS,TX,Gonzales,61,0,6,1,54,77,20,40,17,2
TEXAS,TX,Gray,7,1,0,1,5,46,19,24,3,1
TEXAS,TX,Grimes,26,0,7,4,15,98,43,43,12,1
TEXAS,TX,Hall,1,0,0,0,1,14,5,5,4,0
TEXAS,TX,Hamilton,3,0,0,0,3,13,7,2,4,1
TEXAS,TX,Hansford,1,0,0,0,1,5,2,3,0,0
TEXAS,TX,Hardeman,4,1,0,1,2,21,2,19,0,0
TEXAS,TX,Hartley,1,0,0,0,1,12,5,3,4,0
TEXAS,TX,Haskell,6,0,2,0,4,10,1,5,4,0
TEXAS,TX,Hemphill,0,0,0,0,0,15,1,13,1,0
TEXAS,TX,Hill,77,1,25,2,49,235,43,166,26,2
TEXAS,TX,Hockley,16,0,2,1,13,71,24,40,7,0
TEXAS,TX,Hood,53,0,8,4,41,279,66,179,34,4
TEXAS,TX,Hopkins,34,2,2,1,29,36,10,11,15,0
TEXAS,TX,Houston,9,0,3,0,6,77,34,36,7,0
TEXAS,TX,Howard,36,0,1,2,33,265,67,160,38,4
TEXAS,TX,Hutchinson,8,0,1,0,7,47,18,15,14,0
TEXAS,TX,Jack,1,0,0,0,1,22,14,4,4,0
TEXAS,TX,Jackson,12,0,2,1,9,52,14,30,8,0
TEXAS,TX,Jasper,56,1,11,6,38,388,165,195,28,2
TEXAS,TX,Jeff Davis,3,0,0,0,3,2,0,1,1,0
TEXAS,TX,Jim Hogg,9,0,0,0,9,40,17,15,8,0
TEXAS,TX,Jim Wells,65,1,11,0,53,207,83,98,26,6
TEXAS,TX,Karnes,9,0,4,0,5,64,18,42,4,1
TEXAS,TX,Kerr,50,1,17,0,32,183,61,103,19,1
TEXAS,TX,King,0,0,0,0,0,0,0,0,0,0
TEXAS,TX,Kleberg,14,0,2,0,12,23,5,17,1,0
TEXAS,TX,Lamar,33,2,2,0,29,167,39,103,25,0
TEXAS,TX,Lamb,7,0,3,1,3,53,28,21,4,1
TEXAS,TX,La Salle,16,0,0,1,15,44,17,22,5,0
TEXAS,TX,Lavaca,9,1,2,0,6,59,15,32,12,2
TEXAS,TX,Lee,20,1,6,2,11,103,32,58,13,2
TEXAS,TX,Leon,14,0,1,0,13,105,36,58,11,1
TEXAS,TX,Limestone,36,0,12,0,24,104,44,48,12,1
TEXAS,TX,Lipscomb,1,0,0,0,1,25,6,17,2,0
TEXAS,TX,Llano,23,0,5,1,17,193,55,115,23,1
TEXAS,TX,Loving,3,0,1,0,2,17,1,16,0,0
TEXAS,TX,Madison,8,0,1,1,6,48,15,24,9,0
TEXAS,TX,Marion,35,1,1,0,33,99,40,49,10,0
TEXAS,TX,Mason,4,0,0,0,4,11,3,7,1,0
TEXAS,TX,Matagorda,97,1,13,2,81,292,63,186,43,4
TEXAS,TX,McCulloch,2,0,0,0,2,42,22,9,11,0
TEXAS,TX,Milam,21,1,1,1,18,42,10,28,4,0
TEXAS,TX,Mills,11,0,4,0,7,41,33,8,0,0
TEXAS,TX,Montague,22,0,6,1,15,97,24,69,4,2
TEXAS,TX,Moore,8,1,1,0,6,32,14,12,6,1
TEXAS,TX,Nacogdoches,34,1,2,0,31,186,41,121,24,1
TEXAS,TX,Navarro,69,1,19,3,46,224,75,131,18,4
TEXAS,TX,Newton,8,0,2,0,6,53,15,31,7,0
TEXAS,TX,Nolan,7,0,0,0,7,42,13,29,0,0
TEXAS,TX,Palo Pinto,21,0,4,0,17,97,27,54,16,0
TEXAS,TX,Panola,35,1,2,0,32,207,60,120,27,0
TEXAS,TX,Parmer,2,0,0,0,2,39,10,21,8,0
TEXAS,TX,Polk,82,5,15,4,58,477,126,278,73,3
TEXAS,TX,Presidio,0,0,0,0,0,0,0,0,0,0
TEXAS,TX,Reagan,3,0,2,1,0,28,4,20,4,0
TEXAS,TX,Real,5,0,1,0,4,119,93,21,5,0
TEXAS,TX,Red River,18,0,5,0,13,49,22,20,7,0
TEXAS,TX,Refugio,3,1,0,0,2,44,13,12,19,0
TEXAS,TX,Runnels,2,0,0,0,2,12,9,2,1,0
TEXAS,TX,Sabine,20,0,7,0,13,69,15,47,7,2
TEXAS,TX,San Augustine,14,0,2,0,12,54,21,22,11,1
TEXAS,TX,Schleicher,2,0,0,0,2,11,4,7,0,0
TEXAS,TX,Scurry,6,0,1,0,5,90,37,51,2,1
TEXAS,TX,Shelby,20,1,1,0,18,157,43,91,23,3
TEXAS,TX,Somervell,4,0,0,0,4,66,26,40,0,0
TEXAS,TX,Starr,34,0,6,1,27,138,73,50,15,4
TEXAS,TX,Stephens,4,0,1,0,3,35,8,17,10,0
TEXAS,TX,Sutton,3,0,1,0,2,6,5,0,1,0
TEXAS,TX,Swisher,5,0,0,0,5,22,10,11,1,0
TEXAS,TX,Terrell,0,0,0,0,0,0,0,0,0,0
TEXAS,TX,Terry,7,0,0,4,3,42,16,26,0,0
TEXAS,TX,Throckmorton,8,0,2,0,6,2,0,2,0,0
TEXAS,TX,Titus,37,0,7,3,27,149,34,100,15,0
TEXAS,TX,Trinity,14,0,1,1,12,108,47,44,17,0
TEXAS,TX,Tyler,24,3,2,2,17,185,69,78,38,2
TEXAS,TX,Upton,1,0,0,0,1,13,3,7,3,0
TEXAS,TX,Uvalde,19,1,2,0,16,63,26,23,14,0
TEXAS,TX,Val Verde,52,0,11,2,39,125,63,48,14,1
TEXAS,TX,Walker,52,0,15,1,36,211,70,92,49,3
TEXAS,TX,Ward,16,0,3,3,10,151,46,71,34,3
TEXAS,TX,Washington,49,0,4,0,45,95,21,65,9,2
TEXAS,TX,Wharton,80,3,8,4,65,255,71,152,32,3
TEXAS,TX,Wheeler,7,0,2,0,5,13,6,6,1,0
TEXAS,TX,Wilbarger,6,0,0,0,6,14,2,9,3,0
TEXAS,TX,Willacy,12,0,0,0,12,24,7,14,3,0
TEXAS,TX,Winkler,6,0,1,0,5,44,13,26,5,0
TEXAS,TX,Wood,37,1,8,4,24,175,64,91,20,3
TEXAS,TX,Yoakum,10,0,1,2,7,46,7,34,5,1
TEXAS,TX,Young,16,0,4,0,12,21,8,11,2,0
TEXAS,TX,Zapata,10,0,0,0,10,59,21,37,1,0
TEXAS,TX,Zavala,34,0,12,0,22,44,14,20,10,0
UTAH,UT,Box Elder,12,0,2,1,9,117,22,82,13,0
UTAH,UT,Cache,44,1,14,0,29,257,39,201,17,3
UTAH,UT,Davis,29,0,10,1,18,129,16,103,10,0
UTAH,UT,Salt Lake County Unified Police Department,600,17,141,95,347,"6,901",665,"5,241",995,5
UTAH,UT,Tooele,48,1,20,3,24,198,35,138,25,0
UTAH,UT,Utah,85,0,35,1,49,287,35,224,28,1
UTAH,UT,Washington,17,0,6,0,11,94,8,69,17,0
UTAH,UT,Weber,125,0,40,4,81,794,126,575,93,3
UTAH,UT,Beaver,12,2,3,1,6,63,24,29,10,0
UTAH,UT,Carbon,31,0,4,2,25,54,18,30,6,1
UTAH,UT,Duchesne,42,3,14,0,25,196,39,127,30,3
UTAH,UT,Garfield,3,0,1,0,2,41,8,28,5,0
UTAH,UT,Iron,23,0,7,2,14,83,28,47,8,1
UTAH,UT,Kane,28,0,2,0,26,21,3,16,2,0
UTAH,UT,Millard,34,0,12,0,22,153,26,112,15,0
UTAH,UT,Sanpete,37,0,19,1,17,96,11,78,7,1
UTAH,UT,Sevier,9,0,3,0,6,41,14,25,2,1
UTAH,UT,Summit,50,1,41,1,7,314,29,249,36,1
UTAH,UT,Uintah,46,0,8,0,38,174,31,119,24,1
UTAH,UT,Wasatch,19,1,4,0,14,113,19,85,9,0
VERMONT,VT,Franklin,28,0,11,0,17,53,3,49,1,0
VERMONT,VT,Grand Isle,0,0,0,0,0,39,11,28,0,0
VERMONT,VT,Bennington,0,0,0,0,0,7,1,5,1,0
VERMONT,VT,Essex,4,0,1,1,2,17,4,10,3,0
VERMONT,VT,Lamoille,6,0,1,0,5,46,4,42,0,1
VERMONT,VT,Orange,3,0,3,0,0,7,1,5,1,0
VERMONT,VT,Orleans,7,0,2,0,5,60,4,56,0,0
VERMONT,VT,Rutland,5,0,0,0,5,21,0,21,0,0
VERMONT,VT,Windham,1,0,0,0,1,36,2,32,2,0
VERMONT,VT,Windsor,0,0,0,0,0,1,0,0,1,0
VIRGINIA,VA,Albemarle County Police Department,106,0,22,8,76,"1,701",103,"1,496",102,6
VIRGINIA,VA,Amelia,24,1,6,0,17,153,29,108,16,2
VIRGINIA,VA,Amherst,66,1,10,5,50,358,26,303,29,3
VIRGINIA,VA,Appomattox,26,1,3,0,22,90,9,81,0,1
VIRGINIA,VA,Arlington County Police Department,469,0,60,154,255,"3,267",210,"2,757",300,11
VIRGINIA,VA,Augusta,90,2,24,3,61,692,126,482,84,2
VIRGINIA,VA,Bedford,81,1,15,6,59,475,98,334,43,3
VIRGINIA,VA,Botetourt,25,0,10,3,12,245,25,196,24,3
VIRGINIA,VA,Campbell,102,1,24,5,72,529,59,425,45,5
VIRGINIA,VA,Charles City,12,0,0,0,12,24,3,19,2,0
VIRGINIA,VA,Chesterfield County Police Department,536,12,96,125,303,"4,840",512,"3,981",347,24
VIRGINIA,VA,Clarke,4,0,2,1,1,41,2,35,4,0
VIRGINIA,VA,Craig,6,0,4,1,1,29,5,21,3,0
VIRGINIA,VA,Culpeper,20,0,0,1,19,115,6,90,19,1
VIRGINIA,VA,Dinwiddie,83,3,6,4,70,266,33,218,15,4
VIRGINIA,VA,Fairfax County Police Department,948,26,172,318,432,"13,059",561,"11,302","1,196",16
VIRGINIA,VA,Fauquier,51,3,21,2,25,196,17,167,12,0
VIRGINIA,VA,Fluvanna,41,0,11,1,29,127,13,102,12,1
VIRGINIA,VA,Franklin,61,6,19,1,35,445,55,316,74,0
VIRGINIA,VA,Frederick,61,2,16,6,37,846,65,695,86,5
VIRGINIA,VA,Giles,15,0,2,0,13,74,18,50,6,0
VIRGINIA,VA,Gloucester,25,0,11,8,6,335,18,289,28,6
VIRGINIA,VA,Goochland,23,0,6,0,17,235,14,201,20,1
VIRGINIA,VA,Greene,26,0,4,2,20,172,12,147,13,0
VIRGINIA,VA,Hanover,180,1,19,11,149,873,33,794,46,5
VIRGINIA,VA,Henrico County Police Department,651,23,40,132,456,"6,917",373,"6,084",460,37
VIRGINIA,VA,Isle of Wight,29,1,3,3,22,235,15,202,18,2
VIRGINIA,VA,James City County Police Department,101,3,14,12,72,727,37,658,32,4
VIRGINIA,VA,King and Queen,5,0,0,0,5,25,6,19,0,0
VIRGINIA,VA,King William,24,0,5,0,19,85,6,76,3,0
VIRGINIA,VA,Loudoun,271,3,127,26,115,"1,937",132,"1,667",138,25
VIRGINIA,VA,Madison,23,1,11,0,11,74,9,52,13,1
VIRGINIA,VA,Mathews,3,0,2,0,1,51,7,42,2,1
VIRGINIA,VA,Montgomery,85,1,19,3,62,245,48,162,35,8
VIRGINIA,VA,Nelson,36,0,8,2,26,212,48,147,17,3
VIRGINIA,VA,New Kent,46,1,2,1,42,145,13,127,5,0
VIRGINIA,VA,Powhatan,51,0,10,0,41,157,15,140,2,0
VIRGINIA,VA,Prince George County Police Department,129,3,16,10,100,376,50,284,42,5
VIRGINIA,VA,Prince William County Police Department,"1,024",10,104,185,725,"5,174",420,"4,257",497,31
VIRGINIA,VA,Pulaski,34,3,11,2,18,469,85,358,26,5
VIRGINIA,VA,Rappahannock,11,0,1,0,10,26,2,21,3,0
VIRGINIA,VA,Roanoke County Police Department,210,0,27,17,166,"1,052",134,831,87,1
VIRGINIA,VA,Rockingham,78,4,17,2,55,305,80,217,8,8
VIRGINIA,VA,Scott,36,0,8,1,27,245,52,165,28,5
VIRGINIA,VA,Southampton,9,0,9,0,0,136,18,100,18,1
VIRGINIA,VA,Spotsylvania,134,3,18,13,100,696,44,588,64,0
VIRGINIA,VA,Stafford,318,4,85,24,205,"1,249",92,"1,070",87,11
VIRGINIA,VA,Sussex,15,0,2,3,10,87,18,60,9,1
VIRGINIA,VA,Warren,21,0,11,0,10,191,12,160,19,2
VIRGINIA,VA,Washington,46,0,18,2,26,577,92,435,50,4
VIRGINIA,VA,York,112,1,17,9,85,779,41,707,31,4
VIRGINIA,VA,Accomack,95,9,12,7,67,257,52,192,13,1
VIRGINIA,VA,Alleghany,35,1,7,0,27,82,21,57,4,0
VIRGINIA,VA,Bath,0,0,0,0,0,22,2,17,3,0
VIRGINIA,VA,Brunswick,6,0,3,0,3,104,19,77,8,2
VIRGINIA,VA,Buchanan,39,2,16,0,21,218,21,167,30,2
VIRGINIA,VA,Buckingham,20,1,6,3,10,188,33,123,32,0
VIRGINIA,VA,Caroline,56,2,13,3,38,159,30,126,3,2
VIRGINIA,VA,Carroll,23,1,13,0,9,209,42,129,38,1
VIRGINIA,VA,Charlotte,13,0,2,3,8,121,18,89,14,0
VIRGINIA,VA,Cumberland,14,0,4,1,9,42,7,30,5,1
VIRGINIA,VA,Dickenson,18,3,2,0,13,64,26,31,7,2
VIRGINIA,VA,Essex,7,0,2,0,5,34,8,23,3,0
VIRGINIA,VA,Floyd,11,0,6,1,4,64,10,50,4,0
VIRGINIA,VA,Grayson,21,0,5,0,16,132,16,94,22,2
VIRGINIA,VA,Greensville,23,4,3,3,13,98,13,73,12,2
VIRGINIA,VA,Halifax,29,3,7,2,17,171,37,114,20,2
VIRGINIA,VA,Henry,128,3,32,12,81,688,178,457,53,4
VIRGINIA,VA,Highland,1,0,0,0,1,31,3,27,1,1
VIRGINIA,VA,King George,46,1,5,3,37,228,32,179,17,3
VIRGINIA,VA,Lancaster,27,0,3,3,21,58,13,45,0,2
VIRGINIA,VA,Lee,29,0,10,1,18,252,50,195,7,2
VIRGINIA,VA,Louisa,32,0,11,1,20,259,11,216,32,3
VIRGINIA,VA,Lunenburg,25,0,3,1,21,37,10,21,6,2
VIRGINIA,VA,Mecklenburg,47,0,4,2,41,185,36,117,32,0
VIRGINIA,VA,Middlesex,14,0,7,1,6,96,16,71,9,0
VIRGINIA,VA,Northampton,27,1,1,0,25,52,8,40,4,0
VIRGINIA,VA,Northumberland,11,0,2,0,9,44,8,32,4,0
VIRGINIA,VA,Nottoway,20,0,1,1,18,82,23,50,9,1
VIRGINIA,VA,Orange,44,2,14,1,27,146,9,125,12,1
